原始词	标准词
大便有点稀	稀便
大便当中有粘液	大便粘液
消化功能不良	消化不良
哭	哭闹
肚子咕咕	肠鸣音
肠蠕动更快的声音	肠鸣音
拉肚子	腹泻
嗓子哑	嗓子沙哑
气揣	气喘
睡不好	睡眠障碍
精神不太好	精神软
呛	呛奶
毛细支气管炎	支气管炎
喘	喘息
咳	咳嗽
呛咳	呛
流鼻涕	鼻流涕
打喷嚏	喷嚏
病毒	病毒感染
细菌	细菌感染
受惊	惊厥
吐	呕吐
咽部充血	咽喉炎
气管当中有分泌物	气管支气管异物
状态不是很好	精神软
饭吃的少了没什么胃口	食欲不振
流清水鼻涕	鼻流涕
鼻子不通	鼻塞
清鼻涕	鼻流涕
体温38.5以上	中等度热
体温38.5以下	低热
路上又起热了而且起热的速度很快温度一直在上升	发热
病毒性发热	病毒感染
高热惊厥	热惊厥
精神不是很好	精神软
发烧	发热
精神不好	精神软
反复发热	发热
汗比较多	出汗
烫	发热
出汗太多	出汗
快三十八度	低热
感染	支原体感染
吐奶	呕吐
打嗝	呃逆
喷射性呕吐	呕吐
胃食管倒流	胃食管反流
胃食管疾病的可能	胃食管反流
不能睡觉	睡眠障碍
咳咳	咳嗽
支气管	支气管炎
憋气	喘憋
不爱吃饭	食欲不振
胃肠功能不好	胃肠功能紊乱
消化吸收能力差	消化不良
消化功能比较差	消化不良
饮食欠佳	食欲不振
热	发热
肚子痛	腹痛
肠蠕动增快	胃肠功能紊乱
嗓子红	红肿
急性感染	感染
三八度九	中等度热
三十八度	中等度热
幼儿急诊	幼儿急疹
体质不是特别好	免疫力低下
牙疼	牙痛
不怎么吃奶	食欲不振
吃两口就不吃	食欲不振
2.3天没拉一次粑粑	便秘
放屁	屁
闹	哭闹
瞌睡	嗜睡
不大便	便秘
吃奶下降	食欲不振
闹腾	哭闹
大便粉色	血便
一使劲就能蹭出大便	腹泻
烧到39.5	高热
体温超过38.5	中等度热
嗓子有点发炎	咽喉炎
眼泪汪汪	流泪
流涕	鼻流涕
吃的少	食欲不振
不咋吃奶了	食欲不振
大便有未消化的奶瓣	稀便
大便一天6次	腹泻
胃肠功能弱	胃肠功能紊乱
哑	嗓子沙哑
溃疡	口腔溃疡
醒了六次	睡眠障碍
肺部或者气管有炎症	炎症
炎症	胃肠道炎症
病毒性感冒	感冒
睡眠变差	睡眠障碍
气管有炎症	气管炎
烧	发热
免疫力低	免疫力低下
咳有痰	咳痰
食欲差	食欲不振
消化不好	消化不良
大便次数多	腹泻
大便稀	稀便
大便颜色都是黑色	黑便
大便里面奶瓣也多	稀便
奶瓣	稀便
胃肠功能比较弱	胃肠功能紊乱
鼻涕	鼻流涕
清水鼻涕	鼻流涕
黄鼻涕	鼻流涕
干咳嗽	干咳
喉咙红肿	咽喉炎
发出呼呼呼的	喘息
支气管管炎	支气管炎
粘液	大便粘液
脓血	脓血便
肚子疼	腹痛
烫伤	皮肤不完整
肚子一会痛一会痛	腹痛
胃肠型感冒	肠胃型感冒
胃肠炎	胃肠道炎症
黄稠鼻涕	鼻流涕
流清鼻涕	鼻流涕
热气大	上火
鼻子不通气	鼻塞
黄色稠鼻涕	鼻流涕
消化有点不好	消化不良
吃饭也不厉害	食欲不振
拉得比较稀	稀便
一拉尿了话里面就是有点，稀稀的像水样	水样便
大便混在一起了，感觉稀	稀便
今天拉了四回	腹泻
嗓子充血	咽喉炎
呼吸道的感染	呼吸道感染
流黄鼻涕	鼻流涕
吐痰	痰
嗓子嘶哑	声音嘶哑
喉咙哑	嗓子沙哑
喉炎	咽喉炎
吸入或食入什么异物	气管支气管异物
扁桃体发炎	扁桃体炎
呼吸道的问题	呼吸道感染
上呼吸道的问题	上呼吸道感染
喉咙嘶哑	声音嘶哑
小便次数和颜色异常	尿液异常
积水	肾积水
大便很稀	稀便
黏液	大便粘液
肚子胀	腹胀
睡觉睡不踏实，一个晚上醒好多次	睡眠障碍
嗓子都哭哑	嗓子沙哑
肚子不胀	腹胀
拉粑粑量这么多	腹泻
喉咙扁桃体有没有发炎	扁桃体炎
不想吃饭	食欲不振
扁桃体	扁桃体炎
体温，38.7度	中等度热
全吐	呕吐
体温偏高	发热
呼吸道是存在感染	呼吸道感染
体温高	发热
呼吸道是感染	呼吸道感染
烧39.2度	发热
